´úÂë,2.²úÆ·´úÂë1,2.²úÆ·´úÂë2,2.²úÆ·´úÂë3,2.²úÆ·´úÂë4,2.²úÆ·´úÂë5,5.¼ÆÁ¿µ¥Î»1,5.¼ÆÁ¿µ¥Î»2,5.¼ÆÁ¿µ¥Î»3,5.¼ÆÁ¿µ¥Î»4,5.¼ÆÁ¿µ¥Î»5,6.Êµ¼Ê²úÁ¿1,6.Êµ¼Ê²úÁ¿2,6.Êµ¼Ê²úÁ¿3,6.Êµ¼Ê²úÁ¿4,6.Êµ¼Ê²úÁ¿5,2.Ô­¸¨²ÄÁÏ´úÂë1,2.Ô­¸¨²ÄÁÏ´úÂë2,2.Ô­¸¨²ÄÁÏ´úÂë3,2.Ô­¸¨²ÄÁÏ´úÂë4,2.Ô­¸¨²ÄÁÏ´úÂë5,3.¼ÆÁ¿µ¥Î»1,3.¼ÆÁ¿µ¥Î»2,3.¼ÆÁ¿µ¥Î»3,3.¼ÆÁ¿µ¥Î»4,3.¼ÆÁ¿µ¥Î»5,4.Êµ¼ÊÊ¹ÓÃÁ¿1,4.Êµ¼ÊÊ¹ÓÃÁ¿2,4.Êµ¼ÊÊ¹ÓÃÁ¿3,4.Êµ¼ÊÊ¹ÓÃÁ¿4,4.Êµ¼ÊÊ¹ÓÃÁ¿5,6.Áò·Ý£¨Ô­Ãº£©,6.Áò·Ý£¨Ï´¾«Ãº£©,6.Áò·Ý£¨ÆäËûÏ´Ãº£©,6.Áò·Ý£¨ÐÍÃº£©,6.Áò·Ý£¨½¹Ì¿£©,6.Áò·Ý£¨½¹Â¯ÃºÆø£©,6.Áò·Ý£¨¸ßÂ¯ÃºÆø£©,6.Áò·Ý£¨ÌìÈ»Æø*£©,6.Áò·Ý£¨Òº»¯ÌìÈ»Æø*£©,6.Áò·Ý£¨Òº»¯Ê¯ÓÍÆø*£©,6.Áò·Ý£¨Á¶³§¸ÉÆø*£©,6.Áò·Ý£¨Ô­ÓÍ*£©,6.Áò·Ý£¨ÆûÓÍ*£©,6.Áò·Ý£¨ÃºÓÍ*£©,6.Áò·Ý£¨²ñÓÍ*£©,6.Áò·Ý£¨È¼ÁÏÓÍ*£©,6.Áò·Ý£¨ÆäËûÈ¼ÁÏ*£©,7.»Ò·Ý£¨Ô­Ãº£©,7.»Ò·Ý£¨Ï´¾«Ãº£©,7.»Ò·Ý£¨ÆäËûÏ´Ãº£©,7.»Ò·Ý£¨ÐÍÃº£©
520101000000G178019289000,,,,,,¶Ö,¶Ö,¶Ö,,,26027.46,5957.68,10562.92,,,132001,132002,,,,¶Ö,¶Ö,¶Ö,¶Ö,¶Ö,6316.124,201651.684,464.257,1177.417,1174.678,0.47,,,,,,,,,,,,,,,,,15.5,,,
520101000000G178019656800,3135103005,,,,,Ç§¿Ë,,,,,1090000,,,,,313510,,,,,¶Ö,,,,,1210,,,,,5,,,,,,,,,,,,,,,,,22,,,
520101000000G179526236100,101540,,,,,¶Ö,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
520101000000G179526624200,101540,,,,,¶Ö,,,,,85000,,,,,101904,,,,,¶Ö,,,,,85000,,,,,,,,,,,,,,,,,,,,,,,,,
520101000000G179882717x00,101540,,,,,¶Ö,,,,,6000,,,,,101904,,,,,¶Ö,,,,,6000,,,,,,,,,,,,,,,,,,,,,,,,,
520101000000G179883048300,101540,,,,,¶Ö,,,,,45000,,,,,101904,,,,,¶Ö,,,,,45000,,,,,,,,,,,,,,,,,,,,,,,,,
520101000000G1L0327008400,101540,,,,,¶Ö,,,,,100000,,,,,101904,,,,,¶Ö,,,,,100000,,,,,,,,,,,,,,,,,,,,,,,,,
520101000000G1L0327200400,,,,,,¶Ö,,,,,193.6,,,,,,,,,,¶Ö,¶Ö,¶Ö,¶Ö,¶Ö,96.8,51,45,2,77,5,,,,,,,,,,,,,,,,,22,,,
520101000000G1L0328178700,3131101105,,,,,Ç§¿é/Ç§¿Ë,,,,,12000,,,,,313102,313103,,,,¶Ö,¶Ö,,,,41000,10000,,,,5,,,,,,,,,,,,,,,,,22,,,
520101000000G1L0328297400,101540,,,,,¶Ö,,,,,30000,,,,,101904,,,,,¶Ö,,,,,30000,,,,,,,,,,,,,,,,,,,,,,,,,
520101000000G1L0328409900,101540,,,,,¶Ö,,,,,9000,,,,,101904,,,,,¶Ö,,,,,9000,,,,,,,,,,,,,,,,,,,,,,,,,
520101000000G1L0329630500,15211101,,,,,Ç§Éý,,,,,40,,,,,,,461001,,,¶Ö,¶Ö,¶Ö,,,12,4,27,,,,,,,,,,,,,,,,,,,,,,,
520101000000G1L1286347100,3131101105,,,,,Ç§¿é/Ç§¿Ë,,,,,51000,,,,,313102,313103,,,,¶Ö,¶Ö,,,,45500,42000,,,,2.72,,,,,,,,,,,,,,,,,14.69,,,
520101000000G1L1287193000,3131101105,,,,,Ç§¿é/Ç§¿Ë,,,,,2500,,,,,313102,313103,,,,¶Ö,¶Ö,¶Ö,,,7000,4800,3000,,,5,,,,,,,,,,,,,,,,,22,,,
520101000000G1L1287810400,101540,,,,,¶Ö,,,,,39000,,,,,101904,,,,,¶Ö,,,,,39000,,,,,,,,,,,,,,,,,,,,,,,,,
520101000000G1X2225286600,61021,,,,,¶Ö,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
520101000000G1x2254632800,61021,,,,,¶Ö,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
520102000000G120096046000,20250403,,,,,Æ½·½Ã×/Ç§¿Ë,,,,,8,,,,,202904,,,,,¶Ö,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,
520102000000G120328302900,3726,,,,,Á¾/Äê,,,,,900,,,,,372509,372402,,,,Éý,¸ö,,,,320,80,,,,,,,,,,,,,,,,,,,,,,,,
520102000000G121031255500,3726,,,,,Á¾,,,,,100,,,,,372506,372402,,,,¶Ö,¶Ö,,,,2,3,,,,,,,,,,,,,,,,,,,,,,,,
520102000000G121440086X00,2020310101,,,,,Á¢·½Ã×/Ç§¿Ë,,,,,27700,,,,,202301,,,,,¶Ö,,,,,47635.02,,,,,,,,,,,,,,,,,,,,,,,,,
520102000000G121440982100,3220802001,3244010104,,,,¶Ö,¶Ö,,,,147222,233209,,,,322004,,,,,¶Ö,¶Ö,,,,158558,5199,,,,1.4,,,,,,,,,,,,,,,,,25,,,
520102000000G121441258800,,,,,,¶Ö,Ç§¿Ë,,,,35378.16,1129236,,,,,,,,,¶Ö,Ç§¿Ë,,,,44360.534,1042596.5,,,,1.77,,,,,,,,,,,,,,,,,13.05,,,
520102000000G121442448200,20310499,,,,,Æ½·½Ã×/Ç§¿Ë,,,,,30600,,,,,202904,202908,202904,251112,202908,ÕÅ,KG,Æ½·½Ã×,KG,ÕÅ,40145,43.414,6593.8,8.5,44.985,,,,,,,,,,,,,0.25,,0.6,,,,,,
520102000000G121445493X00,346001,,,,,Æ½·½Ã×,,,,,12000,,,,,,,,,,¶Ö,¶Ö,¶Ö,¶Ö,¶Ö,25,35,8,6,8,,,,,,,,,,,,,,,,,,,,,
520102000000G121445534200,3792101103,,,,,Ç§¿Ë,,,,,2800,,,,,266507,392204,358104,341105,,¶Ö/Äê,Æ½·½Ã×,¹«½ï,¹«½ï,,405,180,500,350,,,,,,,,,,,,,,,,,,,,,,
520102000000G121445889304,465001,,,,,Á¢·½Ã×,,,,,35030000,,,,,461001,,,,,Íò¶Ö,,,,,3573.58,,,,,,,,,,,,,,,,,0.25,,,,,,,,
520102000000G121446246200,3412101006,36939002,,,,¼þ/¶Ö,Ì¨,,,,46.55,120,,,,351101,335306,,,,¹«½ï,¹«½ï,,,,41895,98000,,,,,,,,,,,,,,,,0.25,,,,,,,,
520102000000G121446455600,2641,,,,,¶Ö,,,,,205,,,,,264205,266611,267406,,,¶Ö,¶Ö,¶Ö,,,51.25,0.55,58,,,2.72,,,,,,,,,,,,0.25,,,,,14.69,,,
520102000000G121447003200,3111201007,3111201013,,,,¶Ö,¶Ö,,,,398118,187350,,,,,,,,,¶Ö,¶Ö,¶Ö,¶Ö,,650000,50000,4000,36000,,3,,,,,,,,,,,,,,,,,30,,,
520102000000G121449832600,3726,,,,,Á¾,,,,,800,,,,,372506,,,,,¶Ö,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,
520102000000G121450285800,311120,,,,,¶Ö,,,,,37000,,,,,261203,101302,61001,,,Íò¶Ö,Íò¶Ö,Íò¶Ö,,,1.5,0.3,0.35,,,3.42,,,,,,,,,,,,0.25,,0.6,,,22,,,
520102000000G121451852600,3921101101,,,,,Ì¨/Ç§·ü°²,,,,,31500,,,,,392201,,,,,¶Ö,¶Ö,¶Ö,,,100,90,60,,,,,,,,,,,,,,,,,,,,,,,
520102000000G121456095100,359210,,,,,Ç§¿Ë,,,,,220000,,,,,359202,,,,,¶Ö,,,,,220,,,,,5,,,,,,,,,,,,,,,,,22,,,
520102000000G121632130502,1810,,,,,¶Ö,,,,,68.67,,,,,175202,,,,,¶Ö,,,,,20.94,,,,,,,,,,0.6,,,,,,,0.25,,,,,,,,
520102000000G127080200g00,32570603,,,,,¶Ö,,,,,6000,,,,,352401,,,,,¼þ,,,,,6000,,,,,,,,,,,,,,,,,,,,,,,,,
520102000000G152010004800,30101099,,,,,¶Ö,,,,,1000,,,,,266620,,,,,¶Ö,,,,,1000,,,,,,,,,,,,,,,,,,,,,,,,,
520102000000G152010290000,3726,,,,,Á¾,,,,,1200,,,,,372502,372204,372504,,,¶Ö,¶Ö,¶Ö,,,40,45,30,,,,,,,,,,,,,,,,,,,,,,,
520102000000G152010290009,301010,,,,,¶Ö,,,,,12,,,,,266620,,,,,¶Ö,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,
520102000000G1520102G0010,13920102,,,,,¶Ö,,,,,57,,,,,139201,,,,,¶Ö,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,
520102000000G1520102G0011,3726,,,,,Á¾/Äê,,,,,200,,,,,372506,,,,,¶Ö,,,,,0.45,,,,,,,,,,,,,,,,,,,,,,,,,
520102000000G162223051300,121105104,13924099,1461403102,,,Ç§¿Ë,¶Ö,¶Ö,,,58458000,2982,683,,,,139201,133102,267408,,¶Ö,¶Ö,¶Ö,¶Ö,,9128,11975,36500,2175,,2.75,,,,0.6,,,,,,,,0.25,,0.6,,,22,,,
520102000000G162242086X00,272075,,,,,Æ¿¨MÇ§¿Ë,,,,,1.98,,,,,273001,274001,,,,¶Ö,¶Ö,,,,0.648,0.724,,,,,,,,,,,,,,,,,,,,,,,,
520102000000G162242911900,27401108,27401106,,,,¶Ö,¶Ö,,,,176.53,25.86,,,,274001,274001,274001,,,¹«½ï,¹«½ï,¹«½ï,,,100000,80000,20000,,,,,,,,,,,,,,,,,,,,,,,
520102000000G166295672200,3726,,,,,Á¾,,,,,350,,,,,372506,372402,,,,¶Ö,¶Ö,,,,30,10,,,,,,,,,,,,,,,,,,,,,,,,
520102000000G166695736x00,34215003,411350,,,,Ç§¿Ë,¸ö,,,,188925,1888,,,,352101,,,,,¶Ö,,,,,428,,,,,,,,,,,,,,,,,,,,,,,,,
520102000000G166696581000,3420,,,,,¶Ö,,,,,350,,,,,352401,,,,,¶Ö,,,,,400,,,,,,,,,,,,,,,,,,,,,,,,,
520102000000G166698243400,139201,,,,,¶Ö,,,,,90,,,,,139201,263204,,,,¶Ö,¶Ö,,,,18,0.15,,,,,,,,,,,,,,,,,,,,,,,,
520102000000G167072303X00,3111203601,31112036,3111203699,,,¶Ö,¶Ö,¶Ö,,,300,200,100,,,314602,312301,312303,313504,324026,¶Ö/Äê,¶Ö/Äê,¶Ö/Äê,¶Ö/Äê,¶Ö/Äê,80,250,80,150,40,,,,,,,,,,,,,,,,,,,,,
520102000000G167072959700,3726,,,,,Ì¨,,,,,300,,,,,372506,,,,,¶Ö,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,
520102000000G167074920500,3499,3499,,,,¶Ö,¶Ö,,,,224,15902.56,,,,346017,,,,,¶Ö,¶Ö,Á¢·½,,,469.52,297.65,1671.57,,,,,,,,,,,,,,,,,,,,,,,
520102000000G167541353200,1410110201,,,,,¶Ö,,,,,2,,,,,141901,146201,133102,,,¶Ö,¶Ö,¶Ö,,,0.5,0.4,0.07,,,,,,,,,,,,,,,,,,,,,,,
520102000000G167542628800,3726,,,,,Á¾,,,,,120,,,,,372502,372504,,,,¸ö,¶Ö,,,,570,0.3,,,,,,,,,,,,,,,,,,,,,,,,
520102000000G167542861100,3726,,,,,Á¾,,,,,240,,,,,372402,372506,,,,¶Ö,¶Ö,,,,10,30,,,,,,,,,,,,,,,,,,,,,,,,
520102000000G167544716900,23120106,231201,,,,±¾¨M¶Ö,±¾¨M¶Ö,,,,51000,129000,,,,406202,264312,,,,¹«½ï,¹«½ï,,,,56,128,,,,,,,,,,,,,,,,,,,,,,,,
520102000000G167544969000,3726,,,,,Á¾,,,,,1500,,,,,372506,,,,,¶Ö,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,
520102000000G168015156500,3726,,,,,Á¾,,,,,1200,,,,,372503,,,,,Á¾,,,,,1200,,,,,,,,,,,,,,,,,,,,,,,,,
520102000000G168015162900,355214,,,,,¸ö,,,,,12,,,,,362501,,,,,¹«½ï,,,,,800,,,,,,,,,,,,,,,,,,,,,,,,,
520102000000G168017007X00,30601099,,,,,¶Ö,,,,,575,,,,,202909,335308,,,,ÕÅ,¹«½ï,,,,861,70,,,,,,,,,,,,,,,,,,,,,,,,
520102000000G168018425200,3726,,,,,Á¾,,,,,500,,,,,372402,,,,,Éý,,,,,400,,,,,,,,,,,,,,,,,,,,,,,,,
520102000000G168019962200,3111203601,31112036,3111203699,,,¶Ö,¶Ö,¶Ö,,,300,200,100,,,314602,312301,312303,313504,324026,¶Ö/Äê,¶Ö/Äê,¶Ö/Äê,¶Ö/Äê,¶Ö/Äê,80,250,80,150,40,,,,,,,,,,,,,,,,,,,,,
520102000000G168395164800,325702,,,,,¶Ö,,,,,200,,,,,323005,,,,,¶Ö,,,,,200,,,,,,,,,,,,,,,,,,,,,,,,,
520102000000G168395781200,3726,,,,,Á¾,,,,,240,,,,,372509,264312,,,,¶Ö,¶Ö,,,,0.6,3,,,,,,,,,,,,,,,,,,,,,,,,
520102000000G168396477200,33527001,,,,,Ç§¿Ë,,,,,35.9,,,,,267205,267302,134004,,,Ç§¿Ë,Ç§¿Ë,Ç§¿Ë,,,0.5,0.7,0.5,,,,,,,,,,,,,,,0.25,,,,,,,,
520102000000G168396961000,3141301099,,,,,Æ½·½Ã×/Ç§¿Ë,,,,,6000,,,,,266518,291102,311102,,,¶Ö/Äê,¶Ö/Äê,¶Ö/Äê,,,0.1,0.8,0.3,,,,,,,,,,,,,,,,,,,,,,,
520102000000G168841063X00,1320110101,,,,,¶Ö,,,,,66.038,,,,,132002,132001,,,,¶Ö,¶Ö,,,,26.4,30,,,,,,,,,,,,,,,,,,,,,,,,
520102000000G168841995X00,3667,,,,,¶Ö,,,,,0.5,,,,,291103,406105,,,,¶Ö,¶Ö,,,,0.06,0.04,,,,,,,,,,,,,,,,,,,,,,,,
520102000000G168843215000,2661431099,,,,,¶Ö,,,,,40,,,,,263124,265301,261206,266638,,¶Ö,¶Ö,¶Ö,¶Ö,,15.04,6.42,6,2.79,,,,,,,,,,,,,,,,,,,,,,
520102000000G168843297800,314110,,,,,ÖØÁ¿Ïä/Æ½·½Ã×,,,,,150,,,,,314201,,,,,¶Ö,,,,,160,,,,,,,,,,,,,,,,,,,,,,,,,
520102000000G168843543100,40616090,30,,,,Ç§¿Ë/Ç§¸ö,ÍòÖ»,,,,1,3.6,,,,432004,266620,266513,,,¶Ö,¶Ö,¶Ö,,,120,120,0.36,,,,,,,,,,,,,,,,,,,,,,,
520102000000G169270174700,30,,,,,¶Ö,,,,,30,,,,,432004,,,,,¶Ö,,,,,30.1,,,,,,,,,,,,,,,,,,,,,,,,,
520102000000G169272067300,22300202,,,,,¶Ö,,,,,1.5,,,,,406202,222301,406105,,,¶Ö,¶Ö,¶Ö,,,0.1,1,0.5,,,,,,,,,,,,,,,,,,,,,,,
520102000000G169272188700,21,,,,,¶Ö,,,,,25,,,,,202903,,,,,°¡,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,
520102000000G169274674200,3726,,,,,Á¾,,,,,200,,,,,372506,,,,,¶Ö,,,,,50,,,,,,,,,,,,,,,,,0.25,,,,,,,,
520102000000G169753060900,,,,,,¶Ö,,,,,18000,,,,,,,,,,¶Ö,,,,,29500,,,,,2.72,,,,,,,,,,,,,,,,,14.7,,,
520102000000G170950898700,3726,,,,,Á¾,,,,,500,,,,,372506,372402,,,,¶Ö,¶Ö,,,,35,14,,,,,,,,,,,,,,,,,,,,,,,,
520102000000G170961375200,2230010101,,,,,¶Ö,,,,,10400,,,,,221019,222301,202908,263208,174104,¶Ö,¶Ö,¶Ö,¶Ö,¶Ö,1271.519,753.48,11915.618,50082,18497,,,,,,,,,,,,,,,,,,,,,
520102000000G170961593400,41111011,41111031,,,,Ì¨,Ì¨,,,,2000,100,,,,392206,,,,,¹«½ï,,,,,392206,,,,,,,,,,,,,,,,,,,,,,,,,
520102000000G170965624200,13934002,,,,,¶Ö,,,,,2.9,,,,,79003,261301,103001,,,¶Ö,¶Ö,¶Ö,,,50,0.2,0.035,,,,,,,,,,,,,,,,,,,,,,,
520102000000G171437892900,3726,,,,,Á¾,,,,,300,,,,,372401,,,,,¶Ö,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,
520102000000G172213614500,14105199,,,,,¶Ö,,,,,100,,,,,141901,,,,,¶Ö,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,
520102000000G172213715600,32520201,,,,,¶Ö,,,,,200,,,,,324028,,,,,¶Ö,,,,,180,,,,,5,,,,,,,,,,,,,,,,,22,,,
520102000000G172214939200,3726,,,,,Á¾,,,,,450,,,,,372506,372402,,,,¶Ö,¶Ö,,,,25,12,,,,,,,,,,,,,,,,,,,,,,,,
520102000000G172215691200,13924099,13924003,121103103,,,¶Ö,¶Ö,Ç§¿Ë,,,20531,1661,3500000,,,139201,134002,137001,,,¶Ö,¶Ö,¶Ö,,,16000,4800,4500,,,5,,,,,,,,,,,,0.25,0.6,,,,22,,,
520102000000G173095422800,3726,,,,,Ì¨,,,,,620,,,,,372506,372402,,,,¶Ö,¶Ö,,,,25,1.4,,,,,,,,,,,,,,,,,,,,,,,,
520102000000G173096546100,2641110203,2641110699,26415002,,,¶Ö,¶Ö,¶Ö,,,45,5,15,,,264103,264406,261406,266516,,¶Ö,¶Ö,¶Ö,¶Ö,,20,25,15,5,,,,,,,,,,,,,,,,,,,,,,
520102000000G173096718400,3921,,,,,Ì¨/Ç§·ü°²,,,,,1516019,,,,,405908,406205,352304,352301,,¶Ö,¶Ö,¶Ö,¶Ö,,1174.272,269.778,1145.112,1213.804,,,,,,,,,,,,,,0.25,,0.6,,,,,,
520102000000G173098611500,2641,,,,,¶Ö,,,,,2175,,,,,315204,362508,152301,,266510,¶Ö,¶Ö,¶Ö,¶Ö,¶Ö,392,141,934,173,50,,,,,,,,,,,,,,,,,,,,,
520102000000G173098811000,3726,,,,,Á¾,,,,,300,,,,,264312,,,,,¶Ö,,,,,2.5,,,,,,,,,,,,,,,,,,,,,,,,,
520102000000G173660613600,15213103,,,,,Ç§Éý,,,,,340,,,,,152101,152204,,,,¶Ö,¶Ö,,,,500,100,,,,,,,,,,200,,,,,,,,,,,,,,
